bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,lat,long,sqft_living15,sqft_lot15,house_age,has_renovation
3,1.75,1780,13095,1.0,0,0,4,9,0,47.367,-122.152,2750,13095,32,0
2,1.0,1000,3700,1.0,0,0,3,6,200,47.552,-122.29,1270,5000,86,0
3,1.0,1080,7486,1.5,0,0,3,6,90,47.4838,-122.335,1170,7800,73,0
3,2.25,2090,7500,1.0,0,0,4,7,810,47.3951,-122.172,1800,7350,38,0
2,2.5,1741,1439,2.0,0,0,3,8,295,47.7043,-122.209,2090,10454,8,0
3,1.75,2340,51836,1.5,0,0,3,8,830,47.4846,-122.035,2060,77536,37,0
5,2.75,2040,7488,1.0,0,0,4,7,840,47.7289,-122.172,1530,7488,46,0
5,2.25,3320,13138,1.0,0,2,4,9,1420,47.759,-122.269,2820,13138,51,0
3,1.75,1760,8400,1.0,0,0,4,8,300,47.5355,-122.39,1980,8400,55,0
3,2.5,1610,5024,2.0,0,0,3,7,0,47.3833,-122.043,1790,3717,11,0
3,1.75,1190,6000,1.0,0,0,3,7,0,47.5026,-122.236,1200,6000,63,1
5,3.0,2480,7200,1.0,0,0,3,7,920,47.4586,-122.283,1910,9432,16,0
3,2.0,1390,7200,1.0,0,0,3,7,0,47.434,-122.154,1630,7340,19,0
3,1.0,1040,8410,1.0,0,0,3,7,0,47.453,-122.289,1350,8410,73,1
5,2.75,2980,9838,1.0,0,0,3,7,1270,47.3807,-122.222,2240,9838,47,0
3,3.25,1470,1235,2.0,0,0,3,7,290,47.5537,-122.313,1470,1243,7,0
2,1.0,700,4800,1.0,0,0,3,7,0,47.6147,-122.3,1440,4800,93,0
5,3.0,4350,37169,2.0,0,0,3,10,1400,47.6518,-122.16,3280,41631,43,0
4,2.0,1760,5500,1.0,0,1,3,7,980,47.5183,-122.265,1510,5500,90,1
3,1.75,1560,5760,1.0,0,0,5,6,780,47.5272,-122.359,1320,7680,88,0
4,1.75,2480,9195,1.0,0,0,3,7,1090,47.584,-122.195,2440,9195,65,0
5,2.25,2760,6350,1.0,0,0,3,7,1380,47.5561,-122.379,2060,6342,57,0
4,2.5,2448,4949,2.0,0,0,3,9,0,47.3428,-122.179,2815,5446,1,0
3,1.75,1540,6632,1.0,0,0,3,7,470,47.4973,-122.252,2510,6618,56,0
5,2.5,3160,11470,1.0,0,0,4,9,1380,47.5368,-122.216,3260,11470,44,0
4,2.75,1930,13041,1.0,0,0,4,8,750,47.7502,-122.085,1880,10234,35,0
4,2.75,3020,7203,2.0,0,0,3,9,0,47.6948,-122.178,3010,7215,1,0
5,1.75,2510,9750,1.5,0,0,3,8,0,47.6635,-122.149,1900,9750,46,0
4,1.75,2480,14782,1.0,0,3,3,8,1020,47.7646,-122.271,2910,10800,57,0
3,1.0,1590,8160,1.0,0,1,3,7,500,47.4013,-122.321,1540,10500,61,0
5,2.5,2510,7525,1.5,0,0,4,7,800,47.5422,-122.359,1270,6741,86,0
4,3.25,3810,8519,1.0,0,1,3,10,1130,47.699,-122.207,3240,10748,8,0
4,2.5,1900,8282,1.0,0,0,3,7,0,47.2089,-122.003,1420,8350,47,1
3,1.5,1390,11340,1.0,0,0,4,7,0,47.3984,-122.186,1740,11340,52,0
4,1.5,2993,19400,2.0,0,0,4,7,760,47.4692,-122.365,2060,15100,94,0
4,1.75,2480,11010,1.0,0,0,4,9,850,47.5378,-122.219,2770,10744,49,0
4,1.75,1440,13296,1.0,0,0,4,8,0,47.634,-122.204,3520,10802,48,0
2,1.0,1120,12625,1.0,0,3,3,7,0,47.5397,-122.385,1880,6828,75,0
4,1.75,2090,6485,1.0,0,0,3,7,810,47.4958,-122.265,2190,9600,59,0
3,2.5,1750,3354,2.0,0,0,4,7,0,47.6953,-122.199,1750,4286,24,0
4,2.25,2130,10650,2.0,0,0,4,8,0,47.5567,-122.159,3380,10050,38,0
4,3.0,2483,5701,2.0,0,0,3,8,0,47.3623,-122.199,2075,5720,10,0
3,1.75,1410,7700,1.0,0,0,4,7,0,47.5375,-122.176,1560,7700,48,0
4,1.0,1410,7693,1.5,0,0,4,7,0,47.7604,-122.331,1330,8395,62,0
4,2.5,3040,24123,2.0,0,0,3,8,0,47.2667,-122.216,2420,10026,16,0
3,2.5,2810,4607,2.0,0,0,3,8,0,47.7735,-122.227,2540,4871,11,0
4,2.5,2760,5750,2.0,0,0,3,8,0,47.627,-122.303,2760,5390,22,0
4,2.5,4940,10037,1.0,0,4,3,9,1490,47.5095,-122.247,2430,9272,62,0
3,2.0,1380,5000,1.5,0,0,4,7,0,47.6807,-122.369,1350,5000,98,0
3,2.5,3050,158558,1.0,0,0,4,9,0,47.4326,-122.208,2960,31050,28,0
3,1.0,1040,4480,1.0,0,0,3,7,170,47.6461,-122.356,1730,4200,91,0
5,4.0,3366,7800,2.5,0,2,3,8,400,47.6466,-122.391,2340,6000,78,0
5,1.75,1730,10368,1.0,0,0,5,7,720,47.5008,-122.162,1730,7728,52,0
3,2.25,1740,9672,1.0,0,0,4,7,630,47.4149,-122.181,1640,9600,52,0
4,2.5,2410,6440,1.0,0,0,3,8,860,47.7153,-122.191,2330,6938,41,0
3,2.5,2090,7640,1.0,0,0,3,7,730,47.7369,-122.338,2090,7668,53,1
3,1.0,1590,13000,1.5,0,0,3,6,0,47.4789,-122.346,1460,8400,71,0
4,1.0,1460,3840,1.5,0,0,3,8,120,47.533,-122.347,990,4200,87,0
2,1.0,1430,7819,1.0,0,0,3,7,320,47.7307,-122.302,1380,7473,71,0
2,2.5,1320,1957,1.0,0,0,3,8,660,47.5364,-122.365,1420,2198,11,0
3,1.5,1660,4800,2.0,0,0,3,8,0,47.6352,-122.358,1690,4000,108,0
4,2.5,3200,7535,2.0,0,0,3,9,0,47.666,-122.276,1650,6850,9,0
4,2.5,2750,13950,1.0,0,3,4,8,1370,47.4938,-122.364,2460,13950,67,0
1,1.0,1180,4000,1.5,0,2,4,8,340,47.5561,-122.266,1420,4000,105,0
4,2.5,2052,3723,2.0,0,0,3,8,0,47.2824,-122.295,2052,5250,1,0
3,2.5,2530,7000,2.5,0,4,3,9,0,47.5465,-122.398,2380,7000,100,1
3,1.0,1060,20040,1.0,0,0,3,6,0,47.7281,-122.235,1768,10800,72,0
5,2.25,2070,10488,1.0,0,0,4,7,990,47.6095,-122.122,1740,9225,57,0
4,2.5,2440,7093,2.0,0,0,3,7,0,47.3817,-122.204,1860,6072,16,0
3,1.0,1020,6120,1.0,0,0,3,7,0,47.6787,-122.285,2370,6695,74,0
3,2.75,2030,7700,1.0,0,0,5,8,630,47.626,-122.112,1780,8160,50,0
3,2.25,2260,17114,2.0,0,0,3,7,0,47.7537,-122.296,2360,14893,25,0
6,3.5,3000,8401,1.0,0,0,3,8,1500,47.7226,-122.299,1400,8403,36,0
5,3.0,2670,11761,1.0,0,0,3,7,1300,47.6895,-122.129,2580,10703,34,0
4,1.0,1150,6000,1.5,0,0,3,6,0,47.562,-122.283,840,3030,108,0
5,2.75,2770,6116,1.0,0,0,3,7,1280,47.4847,-122.291,1920,6486,36,0
4,1.5,1790,4080,1.5,0,0,5,7,0,47.5749,-122.291,1710,4080,87,0
3,2.25,2100,14027,2.0,0,0,3,8,0,47.3833,-122.1,2730,5999,36,0
3,2.5,2630,10131,2.0,0,0,3,9,0,47.7695,-122.259,2800,10123,26,0
4,2.0,2240,11040,1.0,0,0,5,8,1120,47.693,-122.168,1790,11040,54,0
3,2.5,3370,6550,2.0,0,2,4,8,530,47.5442,-122.38,1500,6550,103,1
6,2.75,3200,9200,1.0,0,2,4,8,1600,47.492,-122.364,2220,9500,62,0
3,2.25,1500,2692,2.0,0,0,3,7,0,47.7159,-122.203,1470,2418,29,0
2,1.0,1040,13920,1.0,0,0,3,6,0,47.3756,-122.306,1100,7575,42,0
1,1.0,550,1279,2.0,0,0,3,7,0,47.616,-122.314,1460,1385,7,0
5,3.25,4115,7910,2.0,0,0,3,9,0,47.6847,-122.016,3950,6765,1,0
3,2.5,1820,8085,2.0,0,0,3,7,0,47.4575,-122.204,1860,8625,32,0
3,1.0,1190,9199,1.0,0,0,3,7,0,47.4258,-122.322,1190,9364,60,0
1,1.5,1100,3451,1.5,0,0,4,8,0,47.3829,-122.322,1400,4560,37,0
4,2.0,1210,4250,1.0,0,0,4,7,0,47.5275,-122.321,1210,6000,74,0
3,2.25,2220,9800,2.0,0,0,3,8,0,47.7635,-122.286,2420,10232,28,0
4,1.75,1700,7800,1.0,0,0,5,7,580,47.4801,-122.158,1560,7800,34,0
5,2.75,3060,7015,1.0,0,0,5,8,1460,47.5052,-122.372,2190,7600,36,0
4,1.75,1620,10530,1.0,0,0,3,7,0,47.3808,-122.211,1890,9975,47,0
3,2.5,1930,6180,1.0,0,0,3,7,600,47.7481,-122.327,1940,6180,54,0
5,3.0,2520,5500,1.0,0,0,3,8,970,47.4938,-122.255,1700,8000,11,0
4,3.25,3760,10920,1.5,0,0,5,9,1360,47.6687,-122.264,3430,11050,65,0
4,3.0,2740,10925,1.0,0,0,3,8,1070,47.4538,-122.125,2330,9940,35,0
2,1.0,1000,5120,1.0,0,0,3,6,0,47.6088,-122.307,1940,4300,113,0
3,1.5,1550,5034,2.0,0,0,4,7,0,47.7072,-122.36,1820,7200,93,0
2,1.0,750,5217,1.0,0,0,4,6,0,47.5188,-122.353,760,4440,72,0
2,1.0,870,5340,1.5,0,0,2,6,0,47.5849,-122.302,1190,4440,109,0
5,1.0,1420,6250,1.5,0,0,4,8,0,47.5807,-122.389,1420,6250,89,0
3,2.5,2810,6300,2.0,0,0,3,8,0,47.6077,-122.02,2860,6630,14,0
3,3.0,2100,2409,2.0,0,0,3,8,440,47.5973,-122.298,1900,2400,7,0
2,1.0,950,4000,1.0,0,0,3,6,0,47.5728,-122.312,1480,4000,105,0
4,2.25,1995,7102,2.0,0,0,4,8,0,47.2986,-122.37,1880,7950,34,0
3,1.0,800,2296,1.0,0,0,4,6,0,47.6546,-122.356,1480,1472,107,0
4,3.0,1630,7626,1.0,0,0,5,7,520,47.7168,-122.308,1630,8082,25,0
4,2.5,3170,5100,2.0,0,0,3,9,0,47.5187,-122.208,1580,5100,3,0
4,1.75,2100,4400,1.5,0,0,5,7,380,47.5299,-122.266,1850,4400,91,0
5,4.5,3732,4426,2.5,0,0,3,10,800,47.6189,-122.288,2950,4000,14,0
3,1.0,1490,57381,1.5,0,0,4,5,0,47.2597,-122.228,1580,101529,83,0
